Numb,manufacturer,oldmodel,newmodel
784,mercury,milan,Milan
785,mercury,mountaineer,Mountaineer
786,mercury,sable,Sable
787,mini,convertible cooper s 2d,Convertible
788,mini,cooper,Convertible
789,mini,cooper clubman,Clubman
790,mini,cooper countryman,Countryman
791,mini,cooper hardtop,hardtop
792,mini,cooper s,s
793,mini,cooper s countryman,Countryman
794,mini,countryman,Countryman
795,mini,countryman cooper se all4,Countryman
796,mini,hardtop,hardtop
797,mini,hardtop 2 door cooper s,hardtop
798,mini,hardtop 2 door john cooper,hardtop
799,mini,hardtop cooper s hatchback,hardtop
800,mitsubishi,eclipse,eclipse
801,mitsubishi,eclipse cross,eclipse
802,mitsubishi,eclipse cross es,eclipse
803,mitsubishi,fuso fe145,Fuso
804,mitsubishi,galant,Galant
805,mitsubishi,lancer,lander
806,mitsubishi,mirage,Mirage
807,mitsubishi,outlander,Outlander
